r0_learner_name,bias_func,bias_scale,n_real,n_expanded,r_expanded,coverage,avg_me
xgboost,NNBias1,1,100,1000,0.1,0.39682,29.25022224582884
xgboost,NNBias1,1,100,1000,0.001,0.41732,29.240149927569682
xgboost,NNBias2,0,100,1000,0.1,0.40478,28.0903961101154
xgboost,NNBias1,0,100,1000,0.01,0.41294,28.081391782155997
xgboost,NNBias2,1,100,1000,0.1,0.31622,36.12483207628454
xgboost,NNBias2,0,100,1000,0.01,0.41294,28.081391782155997
xgboost,NNBias2,1,100,1000,0.001,0.31474,36.11632042757252
xgboost,NNBias2,1,100,1000,0.01,0.30786,36.11754358557757
xgboost,NNBias1,1,1000,1000,0.1,0.11514,9.360185268065942
xgboost,NNBias1,1,1000,1000,0.001,0.11234,9.328856449585507
xgboost,NNBias1,10,1000,1000,0.001,0.15202,27.473884784186478
xgboost,NNBias1,0,1000,1000,0.01,0.11182,8.962380039187854
xgboost,NNBias1,0,1000,1000,0.001,0.10814,8.95774194789123
xgboost,NNBias1,0,1000,1000,0.1,0.11052,8.990380544696803
xgboost,NNBias1,10,1000,1000,0.1,0.14524,27.484971052767577
xgboost,NNBias1,1,1000,1000,0.01,0.11086,9.33329238862141
xgboost,NNBias2,1,1000,1000,0.001,0.12262,11.518884545018999
xgboost,NNBias1,10,1000,1000,0.01,0.1549,27.475382876231954
xgboost,NNBias2,0,1000,1000,0.01,0.11182,8.962380039187854
xgboost,NNBias2,0,1000,1000,0.1,0.11052,8.990380544696803
xgboost,NNBias2,0,1000,1000,0.001,0.10814,8.95774194789123
xgboost,NNBias1,10,100,10000,0.001,0.43748,86.24059996218126
xgboost,NNBias1,1,100,10000,0.01,0.41102,29.24024105182838
xgboost,NNBias2,0,100,10000,0.01,0.41292,28.079994412195678
xgboost,NNBias1,1,100,10000,0.001,0.41734,29.240098302759883
xgboost,NNBias2,0,100,10000,0.1,0.40444,28.08089635488707
xgboost,NNBias1,1,100,10000,0.1,0.39684,29.241107042842795
xgboost,NNBias1,0,100,10000,0.01,0.41292,28.079994412195678
xgboost,NNBias2,10,100,1000,0.001,0.2238,222.67037507335718
xgboost,NNBias1,0,100,10000,0.001,0.4162,28.079845038868427
xgboost,NNBias1,10,100,10000,0.01,0.43644,86.24064790533026
xgboost,NNBias2,10,100,1000,0.1,0.22616,222.67194827206288
xgboost,NNBias2,1,1000,1000,0.01,0.1219,11.52269119389997
xgboost,NNBias2,1,100,10000,0.01,0.3077,36.116399034391186
xgboost,NNBias1,0,100,10000,0.1,0.40444,28.08089635488707
xgboost,NNBias1,10,100,10000,0.1,0.43088,86.24095550783308
xgboost,NNBias2,1,100,10000,0.1,0.31622,36.1171290091165
xgboost,NNBias2,1,100,10000,0.001,0.31476,36.116276657530115
xgboost,NNBias2,10,100,1000,0.01,0.22446,222.67060374821335
xgboost,NNBias2,0,100,10000,0.001,0.4162,28.079845038868427
xgboost,NNBias1,1,1000,10000,0.001,0.11234,9.328695780181635
xgboost,NNBias1,10,1000,10000,0.01,0.15494,27.473979678930224
xgboost,NNBias1,1,1000,10000,0.1,0.11462,9.331842933300981
xgboost,NNBias1,10,1000,10000,0.1,0.14522,27.47494019194494
xgboost,NNBias1,0,1000,10000,0.001,0.10808,8.95757429204367
xgboost,NNBias1,0,1000,10000,0.01,0.11168,8.958040037840393
xgboost,NNBias1,10,1000,10000,0.001,0.15202,27.473829810583794
xgboost,NNBias2,0,1000,10000,0.001,0.10808,8.95757429204367
xgboost,NNBias2,1,1000,1000,0.1,0.10868,11.545377666049866
xgboost,NNBias1,0,1000,10000,0.1,0.11024,8.96085410149697
xgboost,NNBias1,1,1000,10000,0.01,0.1108,9.329141041287624
xgboost,NNBias2,0,1000,10000,0.1,0.11024,8.96085410149697
xgboost,NNBias2,0,1000,10000,0.01,0.11168,8.958040037840393
xgboost,NNBias2,10,100,10000,0.001,0.2238,222.67036779038025
xgboost,NNBias2,1,1000,10000,0.1,0.10828,11.521407859879575
xgboost,NNBias2,1,1000,10000,0.01,0.1218,11.519130261769144
xgboost,NNBias2,1,1000,10000,0.001,0.12262,11.518748344659375
xgboost,NNBias2,10,1000,1000,0.01,0.06094,71.00631892884145
xgboost,NNBias2,10,1000,1000,0.1,0.05834,71.01050900507377
xgboost,NNBias2,10,1000,1000,0.001,0.06126,71.00560553136964
xgboost,NNBias2,10,100,10000,0.01,0.22446,222.6703906600986
xgboost,NNBias2,10,100,10000,0.1,0.22618,222.67052529830448
xgboost,NNBias2,10,1000,10000,0.01,0.06098,71.00565416185219
xgboost,NNBias2,10,1000,10000,0.001,0.06126,71.0055828012708
xgboost,NNBias2,10,1000,10000,0.1,0.0583,71.00607377082365
neural_net_128x128_1500_64,NNBias1,0,100,1000,0.01,0.75364,0.36645796632649297
neural_net_128x128_1500_64,NNBias1,0,100,1000,0.1,0.80654,0.4135081879805018
neural_net_128x128_1500_64,NNBias1,0,100,1000,0.001,0.75326,0.36595040077946644
neural_net_128x128_1500_64,NNBias1,1,100,1000,0.001,0.43818,8.159725017367832
neural_net_128x128_1500_64,NNBias1,1,100,1000,0.1,0.4381,8.162075927915328
neural_net_128x128_1500_64,NNBias1,1,100,1000,0.01,0.43814,8.15974829819109
neural_net_128x128_1500_64,NNBias1,10,100,1000,0.001,0.43582,81.52555746716995
neural_net_128x128_1500_64,NNBias1,10,100,1000,0.1,0.43578,81.52579284084135
neural_net_128x128_1500_64,NNBias1,10,100,1000,0.01,0.43582,81.52555979760683
neural_net_128x128_1500_64,NNBias2,0,100,1000,0.001,0.75326,0.36595040077946644
neural_net_128x128_1500_64,NNBias2,0,100,1000,0.01,0.75364,0.36645796632649297
neural_net_128x128_1500_64,NNBias2,0,100,1000,0.1,0.80654,0.4135081879805018
neural_net_128x128_1500_64,NNBias2,1,100,1000,0.001,0.229,22.08307526900739
neural_net_128x128_1500_64,NNBias2,1,100,1000,0.01,0.229,22.08308451355325
neural_net_128x128_1500_64,NNBias2,1,100,1000,0.1,0.22912,22.084008931686675
neural_net_128x128_1500_64,NNBias2,10,100,1000,0.001,0.22988,220.79260201522183
neural_net_128x128_1500_64,NNBias2,10,100,1000,0.1,0.2299,220.792695408181
neural_net_128x128_1500_64,NNBias2,10,100,1000,0.01,0.2299,220.79260293990498
neural_net_128x128_1500_64,NNBias1,0,1000,1000,0.01,0.377,0.11814007462549864
neural_net_128x128_1500_64,NNBias1,0,1000,1000,0.1,0.54674,0.22243887011677532
neural_net_128x128_1500_64,NNBias1,0,1000,1000,0.001,0.37316,0.11656630295805846
neural_net_128x128_1500_64,NNBias1,1,1000,1000,0.001,0.14232,2.5982363584970742
neural_net_128x128_1500_64,NNBias1,1,1000,1000,0.01,0.14238,2.5983090947763476
neural_net_128x128_1500_64,NNBias1,1,1000,1000,0.1,0.14256,2.6055692009709572
neural_net_128x128_1500_64,NNBias1,10,1000,1000,0.1,0.1509,25.95961888270647
neural_net_128x128_1500_64,NNBias1,10,1000,1000,0.001,0.15096,25.95888348005813
neural_net_128x128_1500_64,NNBias2,0,1000,1000,0.001,0.37316,0.11656630295805846
neural_net_128x128_1500_64,NNBias2,0,1000,1000,0.01,0.377,0.11814007462549864
neural_net_128x128_1500_64,NNBias2,0,1000,1000,0.1,0.54674,0.22243887011677532
neural_net_128x128_1500_64,NNBias1,10,1000,1000,0.01,0.15098,25.95889076140745
neural_net_128x128_1500_64,NNBias2,1,1000,1000,0.001,0.08042,7.041739006945092
neural_net_128x128_1500_64,NNBias2,1,1000,1000,0.01,0.08042,7.041767822708507
neural_net_128x128_1500_64,NNBias2,1,1000,1000,0.1,0.0804,7.0446483181158035
neural_net_128x128_1500_64,NNBias2,10,1000,1000,0.001,0.08036,70.40501128836095
neural_net_128x128_1500_64,NNBias2,10,1000,1000,0.01,0.08036,70.40501417062781
neural_net_128x128_1500_64,NNBias2,10,1000,1000,0.1,0.0804,70.40530239622854
neural_net_128x128_1500_64,NNBias1,0,100,10000,0.01,0.75356,0.36599659454444666
neural_net_128x128_1500_64,NNBias1,0,100,10000,0.1,0.75878,0.37103449037312713
neural_net_128x128_1500_64,NNBias1,0,100,10000,0.001,0.75336,0.365945782691055
neural_net_128x128_1500_64,NNBias1,1,100,10000,0.001,0.4382,8.159724805731962
neural_net_128x128_1500_64,NNBias2,0,100,10000,0.001,0.75336,0.365945782691055
neural_net_128x128_1500_64,NNBias1,1,100,10000,0.1,0.4382,8.159960021819174
neural_net_128x128_1500_64,NNBias1,10,100,10000,0.01,0.43582,81.52555767911201
neural_net_128x128_1500_64,NNBias2,0,100,10000,0.01,0.75356,0.36599659454444666
neural_net_128x128_1500_64,NNBias1,1,100,10000,0.01,0.4382,8.159727134648904
neural_net_128x128_1500_64,NNBias1,10,100,10000,0.001,0.43582,81.525557445985
neural_net_128x128_1500_64,NNBias2,0,100,10000,0.1,0.75878,0.37103449037312713
neural_net_128x128_1500_64,NNBias1,10,100,10000,0.1,0.4358,81.52558099180567
neural_net_128x128_1500_64,NNBias2,1,100,10000,0.001,0.22902,22.08307518496912
neural_net_128x128_1500_64,NNBias2,1,100,10000,0.01,0.229,22.083076109729802
neural_net_128x128_1500_64,NNBias2,1,100,10000,0.1,0.22898,22.083168585433718
